case	context	input	expected	rank	microseconds	top5
fresh-1-full		nijintianyaoqunali	你今天要去哪裡	0	4840	你今天要去哪裏 | 你今天 | 泥金 | 你進 | 你
fresh-1-initials		njtyqnl	你今天要去哪裡	0	9741	南京條約去哪裏 | 南京條約 | 農家庭院 | 努睛突眼 | 那幾天
fresh-1-mixed		nijtianyqunli	你今天要去哪裡	0	5720	你今天要去哪裏 | 你今天 | 你就 | 你家 | 你將
fresh-2-full		woyijingdaojiale	我已經到家了	1	5934	我已經到家了 | 我已經 | 我一驚 | 我一 | 我以
fresh-2-initials		wyjdjl	我已經到家了	0	6701	我也覺得經歷 | 我也覺得 | 我已經 | 望遠鏡 | 無意間
fresh-2-mixed		woyjingdjial	我已經到家了	0	8435	我已經大家樂 | 我已經 | 我一驚 | 我也 | 我要
fresh-3-full		womenyiqichifanba	我們一起吃飯吧	0	4816	我們一起喫飯吧 | 我們一起 | 我們 | 我 | 喔
fresh-3-initials		wmyqcfb	我們一起吃飯吧	0	8647	我們一起成反比 | 我們一起 | 我們要求 | 我沒有錢 | 寤寐以求
fresh-3-mixed		womyiqchifba	我們一起吃飯吧	0	4799	我們一起喫飯吧 | 我們一起 | 我們 | 我媽 | 我沒
fresh-4-full		qingwenchezhanzenmezou	請問車站怎麼走	1	31670	請問車站怎麼走 | 請問 | 輕吻 | 晴雯 | 請
fresh-4-initials		qwczzmz	請問車站怎麼走	0	9839	去僞存真這麼做 | 去僞存真 | 清王朝 | 錢偉長 | 窮玩車
fresh-4-mixed		qingwchezzenmzou	請問車站怎麼走	0	36177	請問車主怎麼走 | 清王朝 | 請完成 | 請問 | 輕微
fresh-5-full		zhegeduoshaoqian	這個多少錢	1	13482	這個多少錢 | 這個度 | 這個 | 這歌 | 這格
fresh-5-initials		zgdsq	這個多少錢	1	6207	這個多少錢 | 在軌道上 | 中國電視 | 中共黨史 | 中國隊
fresh-5-mixed		zhegduosqian	這個多少錢	1	16383	這個多少錢 | 這個度 | 這個 | 這跟 | 這股
fresh-6-full		womingtianzaidageini	我明天再打給你	1	7574	我明天再打給你 | 我明天 | 我命 | 我 | 喔
fresh-6-initials		wmtzdgn	我明天再打給你	0	8394	我每天診斷功能 | 望門投止 | 惡夢探偵 | 我每天 | 未免太
fresh-6-mixed		womtianzdagni	我明天再打給你	0	13379	我每天最大給你 | 我每天 | 我明天 | 我們 | 我媽
fresh-7-full		nishenmeshihouyoukong	你什麼時候有空	1	17195	你什麼時候有空 | 你什麼 | 你 | 擬 | 尼
fresh-7-initials		nsmshyk	你什麼時候有空	0	14918	拿什麼是一款 | 拿什麼 | 鳥山明 | 能說明 | 女士們
fresh-7-mixed		nismeshouykong	你什麼時候有空	1	16680	你什麼時候有空 | 你什麼 | 你傻嗎 | 你是 | 你說
fresh-8-full		keyizaishuoyicima	可以再說一次嗎	1	7738	可以再說一次嗎 | 可以在 | 可以再 | 可以 | 刻意
fresh-8-initials		kyzsycm	可以再說一次嗎	0	15373	課以重稅一場夢 | 課以重稅 | 枯魚之肆 | 可以在 | 可以再
fresh-8-mixed		keyzaisyicma	可以再說一次嗎	0	13620	可以再試一次嗎 | 可以在 | 可以再 | 可用在 | 客運站
fresh-9-full		woyaoqumaidongxi	我要去買東西	1	8107	我要去買東西 | 我要去 | 我要 | 我呀 | 我
fresh-9-initials		wyqmdx	我要去買東西	0	6030	我也輕描淡寫 | 我以前 | 我要去 | 王永慶 | 我要求
fresh-9-mixed		woyqumdongx	我要去買東西	0	5902	我也去買東西 | 我要去 | 我也去 | 我也 | 我要
fresh-10-full		zhunishengrikuaile	祝你生日快樂	1	9784	祝你生日快樂 | 祝你 | 助你 | 祝妳 | 住
fresh-10-initials		znsrkl	祝你生日快樂	1	8231	祝你生日快樂 | 只能說 | 只能算 | 終南山 | 怎能說
fresh-10-mixed		zhunshengrkuail	祝你生日快樂	1	17906	祝你生日快樂 | 準繩 | 準時 | 準是 | 準式
fresh-11-full		buhaoyisirangnijiudengle	不好意思讓你久等了	0	10229	不好意思讓你就等了 | 不好意思 | 不好 | 不 | 部
fresh-11-initials		bhysrnjdl	不好意思讓你久等了	0	19917	不好意思讓你決定了 | 不好意思 | 不吭一聲 | 保護意識 | 並行運算
fresh-11-mixed		buhyisrangnjiudle	不好意思讓你久等了	0	21654	不好意思讓你就對了 | 不好意思 | 不吭一聲 | 不懷疑 | 不合意
fresh-12-full		jintianwanshangyoushijianma	今天晚上有時間嗎	1	23220	今天晚上有時間嗎 | 今天晚上 | 今天 | 金田 | 金天
fresh-12-initials		jtwsysjm	今天晚上有時間嗎	0	15831	今天晚上影視節目 | 今天晚上 | 家庭衛生 | 家庭污水 | 校團委
fresh-12-mixed		jintwansyousjianm	今天晚上有時間嗎	1	28896	今天晚上有時間嗎 | 今天晚上 | 今天 | 盡頭 | 津貼
# top1=15/36 top5=15/36
