context	mode	idle_candidates	provider_candidates	english_learning_callbacks	retained_context
arabic	english	1	1	1	arabic
arabic	chinese	0	1	0	
arabic	taiwanese_english	0	1	0	
arabic	japanese_english	0	1	0	
sanders	english	1	1	1	sanders
sanders	chinese	0	1	0	
sanders	taiwanese_english	0	1	0	
sanders	japanese_english	0	1	0	
said	english	21	21	1	said
said	chinese	0	21	0	
said	taiwanese_english	0	21	0	
said	japanese_english	0	21	0	
india	english	3	3	1	india
india	chinese	0	3	0	
india	taiwanese_english	0	3	0	
india	japanese_english	0	3	0	
arab	english	3	3	1	arab
arab	chinese	0	3	0	
arab	taiwanese_english	0	3	0	
arab	japanese_english	0	3	0	
saddam	english	3	3	1	saddam
saddam	chinese	0	3	0	
saddam	taiwanese_english	0	3	0	
saddam	japanese_english	0	3	0	
nadu	english	1	1	1	nadu
nadu	chinese	0	1	0	
nadu	taiwanese_english	0	1	0	
nadu	japanese_english	0	1	0	
indian	english	6	6	1	indian
indian	chinese	0	6	0	
indian	taiwanese_english	0	6	0	
indian	japanese_english	0	6	0	
resulted	english	1	1	1	resulted
resulted	chinese	0	1	0	
resulted	taiwanese_english	0	1	0	
resulted	japanese_english	0	1	0	
site	english	8	8	1	site
site	chinese	0	8	0	
site	taiwanese_english	0	8	0	
site	japanese_english	0	8	0	
between	english	8	8	1	between
between	chinese	0	8	0	
between	taiwanese_english	0	8	0	
between	japanese_english	0	8	0	
basic	english	1	1	1	basic
basic	chinese	0	1	0	
basic	taiwanese_english	0	1	0	
basic	japanese_english	0	1	0	
discussed	english	3	3	1	discussed
discussed	chinese	0	3	0	
discussed	taiwanese_english	0	3	0	
discussed	japanese_english	0	3	0	
strippers	english	1	1	1	strippers
strippers	chinese	0	1	0	
strippers	taiwanese_english	0	1	0	
strippers	japanese_english	0	1	0	
diplomats	english	1	1	1	diplomats
diplomats	chinese	0	1	0	
diplomats	taiwanese_english	0	1	0	
diplomats	japanese_english	0	1	0	
letter	english	8	8	1	letter
letter	chinese	0	8	0	
letter	taiwanese_english	0	8	0	
letter	japanese_english	0	8	0	
jpg	english	1	1	1	jpg
jpg	chinese	0	1	0	
jpg	taiwanese_english	0	1	0	
jpg	japanese_english	0	1	0	
norma	english	1	1	1	norma
norma	chinese	0	1	0	
norma	taiwanese_english	0	1	0	
norma	japanese_english	0	1	0	
act	english	5	5	1	act
act	chinese	0	5	0	
act	taiwanese_english	0	5	0	
act	japanese_english	0	5	0	
declared	english	1	1	1	declared
declared	chinese	0	1	0	
declared	taiwanese_english	0	1	0	
declared	japanese_english	0	1	0	
used	english	10	10	1	used
used	chinese	0	10	0	
used	taiwanese_english	0	10	0	
used	japanese_english	0	10	0	
lovely	english	2	2	1	lovely
lovely	chinese	0	2	0	
lovely	taiwanese_english	0	2	0	
lovely	japanese_english	0	2	0	
penines	english	1	1	1	penines
penines	chinese	0	1	0	
penines	taiwanese_english	0	1	0	
penines	japanese_english	0	1	0	
transported	english	1	1	1	transported
transported	chinese	0	1	0	
transported	taiwanese_english	0	1	0	
transported	japanese_english	0	1	0	
should	english	24	24	1	should
should	chinese	0	24	0	
should	taiwanese_english	0	24	0	
should	japanese_english	0	24	0	
huber	english	1	1	1	huber
huber	chinese	0	1	0	
huber	taiwanese_english	0	1	0	
huber	japanese_english	0	1	0	
guidance	english	1	1	1	guidance
guidance	chinese	0	1	0	
guidance	taiwanese_english	0	1	0	
guidance	japanese_english	0	1	0	
alexandria	english	1	1	1	alexandria
alexandria	chinese	0	1	0	
alexandria	taiwanese_english	0	1	0	
alexandria	japanese_english	0	1	0	
port	english	3	3	1	port
port	chinese	0	3	0	
port	taiwanese_english	0	3	0	
port	japanese_english	0	3	0	
requirement	english	2	2	1	requirement
requirement	chinese	0	2	0	
requirement	taiwanese_english	0	2	0	
requirement	japanese_english	0	2	0	
supreme	english	4	4	1	supreme
supreme	chinese	0	4	0	
supreme	taiwanese_english	0	4	0	
supreme	japanese_english	0	4	0	
afford	english	1	1	1	afford
afford	chinese	0	1	0	
afford	taiwanese_english	0	1	0	
afford	japanese_english	0	1	0	
