en-dev	1	from the ap comes this story	from the ap comes this story
en-dev	2	president bush on tuesday nominated two individuals to replace retiring jurists on federal courts in the washington area	president bush on tuesday nominated two individuals to replace retiring jurists on federal courts in the washington area
en-dev	3	bush nominated jennifer m anderson for a year term as associate judge of the superior court of the district of columbia replacing steffen w graae	bush nominated jennifer m anderson for a year term as associate judge of the superior court of the district of columbia replacing steffen w graae
en-dev	4	bush also nominated a noel anketell kramer for a year term as associate judge of the district of columbia court of appeals replacing john montague steadman	bush also nominated a noel anketell kramer for a year term as associate judge of the district of columbia court of appeals replacing john montague steadman
en-dev	5	the sheikh in wheel chair has been attacked with a f launched bomb	the sheikh in wheel chair has been attacked with a f launched bomb
en-dev	6	he could be killed years ago and the israelians have all the reasons since he founded and he is the spiritual leader of hamas but they didn't	he could be killed years ago and the israelians have all the reasons since he founded and he is the spiritual leader of hamas but they didn't
en-dev	7	today's incident proves that sharon has lost his patience and his hope in peace	today's incident proves that sharon has lost his patience and his hope in peace
en-dev	8	nervous people make mistakes so i suppose there will be a wave of succesfull arab attacks	nervous people make mistakes so i suppose there will be a wave of succesfull arab attacks
en-dev	9	a la guerre c'est comme a la guerre	a la guerre c'est comme a la guerre
en-dev	10	in the eastern city of baqubah guerrillas detonated a car bomb outside a police station killing several people	in the eastern city of baqubah guerrillas detonated a car bomb outside a police station killing several people
en-dev	11	the us lost yet another helicopter to hostile fire near habbaniyah in the sunni heartland but this time the crew was safe	the us lost yet another helicopter to hostile fire near habbaniyah in the sunni heartland but this time the crew was safe
en-dev	12	in fallujah hundreds of demonstrators came out against us troops when they briefly arrested a yound newlywed bride	in fallujah hundreds of demonstrators came out against us troops when they briefly arrested a yound newlywed bride
en-dev	13	i hope that the us army got an enormous amount of information from her relatives because otherwise this move was a bad bad tradeoff	i hope that the us army got an enormous amount of information from her relatives because otherwise this move was a bad bad tradeoff
en-dev	14	the us troops fired into the hostile crowd killing	the us troops fired into the hostile crowd killing
en-dev	15	it seems clear to me that the manhunt for high baath officials in the sunni heartland is being done wrong or at least in ways that are bad for us standing with local iraqis	it seems clear to me that the manhunt for high baath officials in the sunni heartland is being done wrong or at least in ways that are bad for us standing with local iraqis
en-dev	16	google has finally had an analyst day a chance to present the company's story to the miniscule number of people who haven't heard it	google has finally had an analyst day a chance to present the company's story to the miniscule number of people who haven't heard it
en-dev	17	usually these are just a chance for the suckups to suck up but this time people are actually concerned about the company's plans	usually these are just a chance for the suckups to suck up but this time people are actually concerned about the company's plans
en-dev	18	they work on wall street after all so when they hear a company who's stated goals include don't be evil they imagine a company who's eventually history will be don't be profitable	they work on wall street after all so when they hear a company who's stated goals include don't be evil they imagine a company who's eventually history will be don't be profitable
en-dev	19	it's not quite as freewheeling an environment as you'd imagine sergey brin has actually created a mathematical proof that the company's self driven research strategy which gives employees one day a week to do research projects on their own is a good respectable idea	it's not quite as freewheeling an environment as you'd imagine sergey brin has actually created a mathematical proof that the company's self driven research strategy which gives employees one day a week to do research projects on their own is a good respectable idea
en-dev	20	read the entire article there's a punchline too	read the entire article there's a punchline too
en-dev	21	my opinion piece on the implications of arafat's passing for al qaeda has appeared at newsday	my opinion piece on the implications of arafat's passing for al qaeda has appeared at newsday
en-dev	22	excerpt	excerpt
en-dev	23	arafat's secular nationalism was supple enough to compromise with israel and to imagine a two state solution even if the road of negotiations remained rocky	arafat's secular nationalism was supple enough to compromise with israel and to imagine a two state solution even if the road of negotiations remained rocky
en-dev	24	the continued israeli colonization of the occupied palestinian territories during the s helped along with terrorist attacks by radical groups such as hamas to derail the peace process which sharon had always opposed	the continued israeli colonization of the occupied palestinian territories during the s helped along with terrorist attacks by radical groups such as hamas to derail the peace process which sharon had always opposed
en-dev	25	arafat's death creates a vacuum in palestinian leadership that will not soon be filled	arafat's death creates a vacuum in palestinian leadership that will not soon be filled
en-dev	26	sharon's assassination of major hamas leaders has also weakened authority structures in that party	sharon's assassination of major hamas leaders has also weakened authority structures in that party
en-dev	27	if the israelis and the palestinian leadership cannot find a way to reinvigorate the peace process cells of radical young palestinians may grow up that look to bin laden for their cues	if the israelis and the palestinian leadership cannot find a way to reinvigorate the peace process cells of radical young palestinians may grow up that look to bin laden for their cues
en-dev	28	even if local palestinian leaders remain strong enough to keep al qaida out the festering israeli palestinian struggle remains among the best recruiting posters for al qaida with young muslim men	even if local palestinian leaders remain strong enough to keep al qaida out the festering israeli palestinian struggle remains among the best recruiting posters for al qaida with young muslim men
en-dev	29	resolving this conflict would be the most effective weapon the united states could deploy in its war on terror	resolving this conflict would be the most effective weapon the united states could deploy in its war on terror
en-dev	30	xinhua reports that a wide range of iraqi political forces on tuesday condemned sharon's murder of sheikh ahmed yassin a religious leader of hamas the day before	xinhua reports that a wide range of iraqi political forces on tuesday condemned sharon's murder of sheikh ahmed yassin a religious leader of hamas the day before
en-dev	31	the board of muslim clerics in fallujah km west of baghdad condemned the assassination and promised immediate revenge against the coalition soldiers in iraq	the board of muslim clerics in fallujah km west of baghdad condemned the assassination and promised immediate revenge against the coalition soldiers in iraq
en-dev	32	ash sharq al awsat reports that fallujah was closed tuesday in a general strike	ash sharq al awsat reports that fallujah was closed tuesday in a general strike
en-dev	33	us troops there clashed with guerrillas in a fight that left one iraqi dead	us troops there clashed with guerrillas in a fight that left one iraqi dead
en-dev	34	in ramadi there was a big demonstration	in ramadi there was a big demonstration
en-dev	35	radical shiite cleric muqtada al sadr said the attack was criminal and that the zionists have left only one choice for the arabs that of fighting and jihad	radical shiite cleric muqtada al sadr said the attack was criminal and that the zionists have left only one choice for the arabs that of fighting and jihad
