case	context	input	expected	rank	microseconds	top5
boundary-0	這樣	de	的	1	8289	的 | 地 | 得 | 德 | 等
boundary-1	這樣的	chuli	處理	1	17501	處理 | 出力 | 矗立 | 創立 | 出列
boundary-2	的處理	ye	也	1	5182	也 | 業 | 意 | 夜 | 野
boundary-3	處理也	yansheng	衍生	1	18511	衍生 | 養生 | 揚升 | 衍生物 | 眼生
boundary-4	也衍生	le	了	1	1816	了 | 樂 | 類 | 垃 | 勒
boundary-5	衍生了	yixie	一些	1	2916	一些 | 一寫 | 一解 | 一些事 | 一協
boundary-6	了一些	wenti	問題	1	2209	問題 | 文體 | 問題是 | 溫體 | 問體
boundary-7	年	tichu	提出	1	2924	提出 | 天窗 | 剔除 | 踢出 | 跳出
boundary-8	年提出	le	了	1	1067	了 | 樂 | 類 | 垃 | 勒
boundary-9	提出了	xingjian	興建	1	4916	興建 | 行檢 | 行將 | 行間 | 行建
boundary-10	了興建	renwen	人文	1	2157	人文 | 人問 | 人聞 | 人免 | 人文科學
boundary-11	建人文	dalou	大樓	1	2996	大樓 | 大樓裡 | 大樓住戶 | 大露 | 大漏
boundary-12	文大樓	de	的	1	3368	的 | 地 | 得 | 德 | 等
boundary-13	大樓的	gouxiang	構想	1	6630	構想 | 夠響 | 狗想 | 夠香 | 夠想
boundary-14	企業	jie	界	4	4384	接 | 解 | 結 | 界 | 節
boundary-15	企業界	luxu	陸續	1	8421	陸續 | 魯迅 | 螺旋 | 落選 | 鷺序
boundary-16	界陸續	you	有	1	5063	有 | 由 | 又 | 友 | 遊
boundary-17	陸續有	ren	人	1	1743	人 | 任 | 人家 | 認 | 人類
boundary-18	續有人	tigong	提供	1	4894	提供 | 提供給 | 天公 | 停工 | 天宮
boundary-19	人提供	juankuan	捐款	1	2071	捐款 | 捲款 | 捐款箱 | 捲款潛逃 | 身款
boundary-20	杜鵑花	wei	為	1	9648	為 | 位 | 委 | 未 | 維
boundary-21	鵑花為	wendai	溫帶	2	1959	文大 | 溫帶 | 文代 | 文帶 | 問大
boundary-22	為溫帶	zhiwu	植物	1	3025	植物 | 職務 | 之無 | 置物 | 之舞
boundary-23	台北	suiran	雖然	1	2821	雖然 | 雖然是 | 雖然有 | 雖然在 | 雖然說
boundary-24	北雖然	zai	在	1	2291	在 | 再 | 載 | 災 | 仔
boundary-25	雖然在	ya	亞	1	961	亞 | 研 | 演 | 要 | 壓
boundary-26	然在亞	redai	熱帶	1	6465	熱帶 | 人代 | 人大 | 熱帶魚 | 韌帶
boundary-27	但	dongji	冬季	2	4751	動機 | 冬季 | 東京 | 凍結 | 董監
boundary-28	但冬季	de	的	1	858	的 | 地 | 得 | 德 | 等
boundary-29	冬季的	dongbei	東北	1	5731	東北 | 東北部 | 動被 | 動北 | 東被
boundary-30	的東北	jifeng	季風	1	2447	季風 | 譏諷 | 尖峰 | 疾風 | 家風
boundary-31	北季風	que	卻	1	719	卻 | 確 | 缺 | 殼 | 雀
boundary-32	季風卻	shide	使得	1	2096	使得 | 是的 | 是地 | 是得 | 時的
boundary-33	卻使得	dujuanhua	杜鵑花	1	2755	杜鵑花 | 杜鵑花城 | 杜鵑化 | 杜鵑話 | 杜鵑畫
boundary-34	杜鵑花	zai	在	1	1166	在 | 再 | 載 | 災 | 仔
boundary-35	臺大	yixue	醫學	1	2625	醫學 | 一學 | 易學 | 醫學院 | 義學
boundary-36	大醫學	renwen	人文	1	1717	人文 | 人問 | 人聞 | 人免 | 人文科學
boundary-37	學人文	bowu	博物	1	1077	博物 | 博物館 | 薄霧 | 博物院 | 博物學
boundary-38	文博物	guan	館	1	1523	館 | 關 | 觀 | 管 | 官
boundary-39	博物館	shi	是	1	5836	是 | 時 | 十 | 事 | 實
boundary-40	物館是	yi	一	1	2112	一 | 以 | 義 | 因 | 一個
boundary-41	館是一	dong	棟	9	3198	動 | 東 | 懂 | 董 | 冬
boundary-42	是一棟	liang	兩	1	1481	兩 | 量 | 良 | 亮 | 輛
boundary-43	一棟兩	ceng	層	1	1039	層 | 曾 | 層次 | 層面 | 層級
boundary-44	棟兩層	lou	樓	1	883	樓 | 露 | 漏 | 陋 | 摟
boundary-45	兩層樓	de	的	1	859	的 | 地 | 得 | 德 | 等
boundary-46	層樓的	jianzhu	建築	1	7160	建築 | 建築物 | 建築師 | 獎助 | 獎狀
boundary-47	沿	zhongshan	中山	1	15593	中山 | 重傷 | 中上 | 中山堂 | 中山大學
boundary-48	沿中山	nan	南	2	1294	難 | 南 | 男 | 男人 | 難以
boundary-49	中山南	lu	路	1	2879	路 | 錄 | 陸 | 露 | 論
boundary-50	山南路	yu	與	2	2957	於 | 與 | 運 | 育 | 語
boundary-51	南路與	renai	仁愛	1	6236	仁愛 | 忍耐 | 人愛 | 仁愛路 | 仁愛醫院
boundary-52	與仁愛	lu	路	1	610	路 | 錄 | 陸 | 露 | 論
boundary-53	仁愛路	cheng	成	1	3452	成 | 程 | 稱 | 城 | 承
boundary-54	樓頂	you	有	1	1854	有 | 由 | 又 | 友 | 遊
boundary-55	樓頂有	tianwen	天文	1	2617	天文 | 天文學 | 天文台 | 天文學家 | 天文館
boundary-56	有天文	tai	台	1	4780	台 | 太 | 態 | 台大 | 台南
boundary-57	現	wei	為	1	1175	為 | 位 | 委 | 未 | 維
boundary-58	現為	tianwen	天文	1	2922	天文 | 天問 | 天文學 | 天聞 | 天文台
boundary-59	為天文	she	社	1	2904	社 | 什 | 設 | 生 | 甚
boundary-60	天文社	shiyong	使用	1	4393	使用 | 是用 | 適用 | 實用 | 試用
boundary-61	國際	beiji	北極	3	1220	北京 | 背景 | 北極 | 背脊 | 北京市
boundary-62	際北極	yanjiu	研究	1	2586	研究 | 研究所 | 菸酒 | 研究院 | 煙酒
boundary-63	極研究	zhongxin	中心	1	4490	中心 | 中興 | 中性 | 中型 | 重心
boundary-64	究中心	de	的	1	515	的 | 地 | 得 | 德 | 等
boundary-65	中心的	zhuyao	主要	1	3881	主要 | 主要是 | 主要的 | 著要 | 主要原因
boundary-66	的主要	huoban	夥伴	1	1002	夥伴 | 伙伴 | 獲頒 | 活版 | 和辦
boundary-67	要夥伴	shi	是	1	4040	是 | 時 | 十 | 事 | 實
boundary-68	夥伴是	riben	日本	1	952	日本 | 日本人 | 日本隊 | 日本語 | 日本海
boundary-69	是日本	he	和	1	892	和 | 合 | 何 | 很 | 核
boundary-70	日本和	meiguo	美國	1	729	美國 | 美國人 | 美過 | 沒過 | 美果
boundary-71	參與	huiwu	會務	2	545	會晤 | 會務 | 揮舞 | 穢物 | 悔悟
boundary-72	與會務	de	的	1	801	的 | 地 | 得 | 德 | 等
boundary-73	會務的	hai	還	1	528	還 | 海 | 孩 | 害 | 還有
boundary-74	務的還	you	有	1	1593	有 | 由 | 又 | 友 | 遊
boundary-75	的還有	lai	來	1	603	來 | 賴 | 萊 | 來的 | 來自
boundary-76	還有來	zi	自	1	1094	自 | 子 | 資 | 字 | 自己
boundary-77	有來自	jianada	加拿大	1	1559	加拿大 | 加拿大人 | 加拿大籍 | 加拿大信託 | 家拿到
boundary-78	英國	he	和	1	815	和 | 合 | 何 | 很 | 核
boundary-79	英國和	meiguo	美國	1	987	美國 | 沒過 | 美國人 | 美過 | 沒國
boundary-80	和美國	de	的	1	1039	的 | 德 | 地 | 得 | 等
boundary-81	美國的	daibiao	代表	1	2468	代表 | 代表性 | 代表隊 | 大表 | 代表團
boundary-82	其中	cansai	參賽	1	1952	參賽 | 參賽者 | 參賽權 | 參塞 | 餐賽
boundary-83	中參賽	zhe	者	1	1441	者 | 這 | 著 | 政 | 正
boundary-84	參賽者	nianling	年齡	1	2030	年齡 | 年齡層 | 年另 | 年領 | 年令
boundary-85	者年齡	buke	不可	1	636	不可 | 不可能 | 不可以 | 不肯 | 不克
boundary-86	齡不可	chaoguo	超過	1	1921	超過 | 吵過 | 炒過 | 抄過 | 超國
boundary-87	以	dangnian	當年	1	4503	當年 | 當念 | 當年勇 | 黨年 | 當廿
boundary-88	日	wei	為	1	977	為 | 維 | 位 | 委 | 未
boundary-89	日為	zhun	準	1	2125	準 | 准 | 準備 | 屯 | 準的
boundary-90	且	bixu	必須	1	719	必須 | 必需 | 必須要 | 必需品 | 冰雪
boundary-91	且必須	jiudu	就讀	1	526	就讀 | 就都 | 舊都 | 就度 | 就讀於
boundary-92	須就讀	wu	於	1	1100	於 | 無 | 五 | 物 | 務
boundary-93	就讀於	zhong	中	1	3818	中 | 種 | 眾 | 重 | 中國
boundary-94	讀於中	xuexiao	學校	1	834	學校 | 學小 | 學校裡 | 學消 | 學效
boundary-95	亞奧	lishi	理事	2	2640	歷史 | 理事 | 六十 | 臨時 | 歷時
boundary-96	奧理事	kuai	會	1	646	會 | 快 | 塊 | 會計 | 快樂
boundary-97	理事會	zhuxi	主席	1	2514	主席 | 主修 | 主嫌 | 主戲 | 轉型
boundary-98	薩巴赫	qinwang	親王	2	2012	秦王 | 親王 | 情網 | 親網 | 親望
