case	context	input	expected	rank	microseconds	top5
fresh-1-full		nijintianyaoqunali	你今天要去哪裡	8	42829	你今天要區哪裡 | 你今天要區那裡 | 你今天樂群阿里 | 你今天樂群哪裡 | 兒今天要區哪裡
fresh-1-initials		njtyqnl	你今天要去哪裡	0	10459	年級同意權努力 | 南京條約去年了 | 年級同意權能力 | 那幾天一起努力 | 那就同意權努力
fresh-1-mixed		nijtianyqunli	你今天要去哪裡	0	12649	你今天一群理 | 你今天一群力 | 你今天一群裡 | 你今天一群立 | 你今天有群理
fresh-2-full		woyijingdaojiale	我已經到家了	2	11597	我已經到加了 | 我已經到家了 | 我已經道家了 | 我已經道加了 | 我已經導加了
fresh-2-initials		wyjdjl	我已經到家了	0	5350	望遠鏡打擊率 | 違約金打擊率 | 望遠鏡大家樂 | 無意間打擊率 | 望遠鏡調景嶺
fresh-2-mixed		woyjingdjial	我已經到家了	0	8519	我已經大家樂 | 我已經點將錄 | 我眼睛大家樂 | 我已經獨角龍 | 我也經大家樂
fresh-3-full		womenyiqichifanba	我們一起吃飯吧	3	11007	我們一起吃飯把 | 我們一起吃飯八 | 我們一起吃飯吧 | 我們一起吃飯巴 | 我們一起吃飯爸
fresh-3-initials		wmyqcfb	我們一起吃飯吧	0	8987	我們一起成反比 | 我沒有清楚發表 | 我沒有清楚分別 | 我們要求成反比 | 我沒有汽車發表
fresh-3-mixed		womyiqchifba	我們一起吃飯吧	11	8533	我們一請吃飯把 | 我們一請吃飯八 | 我們一起吃飯把 | 我們一起吃飯八 | 我們以請吃飯把
fresh-4-full		qingwenchezhanzenmezou	請問車站怎麼走	1	18182	請問車站怎麼走 | 請問成長怎麼走 | 請問車站怎麼奏 | 請問成長怎麼奏 | 請問車站怎麼驟
fresh-4-initials		qwczzmz	請問車站怎麼走	0	6271	去偽存真怎麼做 | 去偽存真這麼做 | 去偽存真中美洲 | 去偽存真怎麼著 | 去偽存真正忙著
fresh-4-mixed		qingwchezzenmzou	請問車站怎麼走	0	5860	情完成再怎麼走 | 請問成長怎麼走 | 請完成再怎麼走 | 清完成再怎麼走 | 請問車再怎麼走
fresh-5-full		zhegeduoshaoqian	這個多少錢	1	5744	這個多少錢 | 整個多少錢 | 這個多少前 | 者個多少錢 | 著個多少錢
fresh-5-initials		zgdsq	這個多少錢	4	2646	這個的事情 | 中國的事情 | 整個的事情 | 這個多少錢 | 主管的事情
fresh-5-mixed		zhegduosqian	這個多少錢	1	4293	這個多少錢 | 整個多少錢 | 珍貴多少錢 | 正規多少錢 | 這股多少錢
fresh-6-full		womingtianzaidageini	我明天再打給你	9	8960	我明天在帶給你 | 我明天在帶給兒 | 我明天在帶給年 | 我明天在帶給呢 | 我明天在打給你
fresh-6-initials		wmtzdgn	我明天再打給你	0	4722	望門投止多功能 | 望門投止大姑娘 | 我們投資多功能 | 望門投止大閨女 | 我們太子黨國內
fresh-6-mixed		womtianzdagni	我明天再打給你	0	4496	我們天主大姑娘 | 我們天真大姑娘 | 我們天知道觀念 | 我們天災大姑娘 | 我們天正大姑娘
