case	context	input	expected	rank	microseconds	top5
boundary-0	這樣	de	的	1	5555	的 | 地 | 得 | 德 | 等
boundary-1	這樣的	chuli	處理	1	23466	處理 | 出力 | 矗立 | 創立 | 串連
boundary-2	的處理	ye	也	1	2799	也 | 業 | 意 | 夜 | 野
boundary-3	處理也	yansheng	衍生	1	9849	衍生 | 養生 | 揚升 | 衍生物 | 眼生
boundary-4	也衍生	le	了	1	1802	了 | 樂 | 類 | 垃 | 勒
boundary-5	衍生了	yixie	一些	1	2816	一些 | 一些事 | 一寫 | 一些的 | 一解
boundary-6	了一些	wenti	問題	1	1998	問題 | 文體 | 問題是 | 溫體 | 文提
boundary-7	年	tichu	提出	1	6268	提出 | 剔除 | 踢出 | 跳出 | 提出來
boundary-8	年提出	le	了	1	2443	了 | 樂 | 類 | 垃 | 勒
boundary-9	提出了	xingjian	興建	1	9796	興建 | 行檢 | 行將 | 行間 | 行建
boundary-10	了興建	renwen	人文	1	2792	人文 | 人問 | 人聞 | 人免 | 人文科學
boundary-11	建人文	dalou	大樓	1	1828	大樓 | 大樓裡 | 大樓住戶 | 大露 | 大漏
boundary-12	文大樓	de	的	1	2791	的 | 地 | 得 | 德 | 等
boundary-13	大樓的	gouxiang	構想	1	5885	構想 | 夠響 | 夠香 | 夠想 | 夠相
boundary-14	企業	jie	界	4	2850	接 | 解 | 結 | 界 | 節
boundary-15	企業界	luxu	陸續	1	2926	陸續 | 魯迅 | 螺旋 | 落選 | 鷺序
boundary-16	界陸續	you	有	1	3219	有 | 由 | 又 | 友 | 遊
boundary-17	陸續有	ren	人	1	2545	人 | 任 | 認 | 仁 | 忍
boundary-18	續有人	tigong	提供	1	1953	提供 | 提供給 | 天公 | 停工 | 天宮
boundary-19	人提供	juankuan	捐款	1	4775	捐款 | 捲款 | 捐款箱 | 捲款潛逃 | 身款
boundary-20	杜鵑花	wei	為	1	2349	為 | 位 | 委 | 未 | 維
boundary-21	鵑花為	wendai	溫帶	1	1738	溫帶 | 文大 | 問大 | 聞大 | 文代
boundary-22	為溫帶	zhiwu	植物	1	2033	植物 | 職務 | 之無 | 置物 | 之舞
boundary-23	台北	suiran	雖然	1	3313	雖然 | 雖然是 | 雖然有 | 雖然在 | 雖然說
boundary-24	北雖然	zai	在	1	3177	在 | 再 | 載 | 災 | 仔
boundary-25	雖然在	ya	亞	2	3972	要 | 亞 | 壓 | 樣 | 研
boundary-26	然在亞	redai	熱帶	1	1228	熱帶 | 人代 | 人大 | 熱帶魚 | 韌帶
boundary-27	但	dongji	冬季	2	2906	動機 | 冬季 | 東京 | 凍結 | 董監
boundary-28	但冬季	de	的	1	5206	的 | 地 | 得 | 德 | 等
boundary-29	冬季的	dongbei	東北	1	4003	東北 | 東北部 | 東北角 | 東北季風 | 東北亞
boundary-30	的東北	jifeng	季風	1	2352	季風 | 譏諷 | 尖峰 | 疾風 | 家風
boundary-31	北季風	que	卻	1	1407	卻 | 確 | 缺 | 殼 | 雀
boundary-32	季風卻	shide	使得	1	2023	使得 | 是的 | 時的 | 十的 | 事的
boundary-33	卻使得	dujuanhua	杜鵑花	1	3397	杜鵑花 | 杜鵑花城 | 杜鵑化 | 杜鵑話 | 杜鵑畫
boundary-34	杜鵑花	zai	在	1	1333	在 | 再 | 載 | 災 | 仔
boundary-35	臺大	yixue	醫學	1	1480	醫學 | 一學 | 易學 | 醫學院 | 義學
boundary-36	大醫學	renwen	人文	1	1814	人文 | 人問 | 人聞 | 人免 | 人文科學
boundary-37	學人文	bowu	博物	1	1222	博物 | 博物館 | 薄霧 | 博物院 | 博物學
boundary-38	文博物	guan	館	5	1918	關 | 觀 | 管 | 官 | 館
boundary-39	博物館	shi	是	1	3874	是 | 時 | 十 | 事 | 實
boundary-40	物館是	yi	一	1	1815	一 | 以 | 意 | 已 | 議
boundary-41	館是一	dong	棟	9	1996	動 | 東 | 懂 | 董 | 冬
boundary-42	是一棟	liang	兩	1	2114	兩 | 量 | 良 | 亮 | 輛
boundary-43	一棟兩	ceng	層	2	1368	曾 | 層 | 曾經 | 層次 | 層面
boundary-44	棟兩層	lou	樓	1	1140	樓 | 露 | 漏 | 陋 | 摟
boundary-45	兩層樓	de	的	1	729	的 | 地 | 得 | 德 | 等
boundary-46	層樓的	jianzhu	建築	1	5826	建築 | 建築物 | 建築師 | 獎助 | 建築業
boundary-47	沿	zhongshan	中山	1	8058	中山 | 重傷 | 中上 | 中山堂 | 中山大學
boundary-48	沿中山	nan	南	2	1202	難 | 南 | 男 | 男人 | 難以
boundary-49	中山南	lu	路	1	931	路 | 錄 | 陸 | 露 | 論
boundary-50	山南路	yu	與	2	743	於 | 與 | 育 | 語 | 預
boundary-51	南路與	renai	仁愛	1	1062	仁愛 | 忍耐 | 仁愛路 | 人愛 | 仁愛醫院
boundary-52	與仁愛	lu	路	1	669	路 | 錄 | 陸 | 露 | 論
boundary-53	仁愛路	cheng	成	1	3106	成 | 程 | 稱 | 城 | 承
boundary-54	樓頂	you	有	1	1967	有 | 由 | 又 | 友 | 遊
boundary-55	樓頂有	tianwen	天文	1	3511	天文 | 天文學 | 天文台 | 天文學家 | 天文館
boundary-56	有天文	tai	台	1	1231	台 | 太 | 態 | 台灣 | 泰
boundary-57	現	wei	為	1	1258	為 | 位 | 委 | 未 | 維
boundary-58	現為	tianwen	天文	1	2294	天文 | 天文學 | 天文台 | 天文學家 | 天文館
boundary-59	為天文	she	社	1	2557	社 | 什 | 設 | 生 | 甚
boundary-60	天文社	shiyong	使用	1	3715	使用 | 是用 | 適用 | 實用 | 試用
boundary-61	國際	beiji	北極	3	1170	北京 | 背景 | 北極 | 背脊 | 北京市
boundary-62	際北極	yanjiu	研究	1	4350	研究 | 研究所 | 菸酒 | 研究院 | 煙酒
boundary-63	極研究	zhongxin	中心	1	7021	中心 | 重心 | 忠信 | 衷心 | 中興
boundary-64	究中心	de	的	1	697	的 | 地 | 得 | 德 | 等
boundary-65	中心的	zhuyao	主要	1	6045	主要 | 主要是 | 主要的 | 主要原因 | 著要
boundary-66	的主要	huoban	夥伴	1	1262	夥伴 | 伙伴 | 獲頒 | 活版 | 和辦
boundary-67	要夥伴	shi	是	1	2655	是 | 時 | 十 | 事 | 實
boundary-68	夥伴是	riben	日本	1	787	日本 | 日本人 | 日本隊 | 日本語 | 日本海
boundary-69	是日本	he	和	1	1803	和 | 合 | 何 | 很 | 核
boundary-70	日本和	meiguo	美國	1	663	美國 | 美國人 | 沒過 | 美國籍 | 沒國
boundary-71	參與	huiwu	會務	2	350	會晤 | 會務 | 揮舞 | 穢物 | 悔悟
boundary-72	與會務	de	的	1	474	的 | 地 | 得 | 德 | 等
boundary-73	會務的	hai	還	1	454	還 | 海 | 孩 | 害 | 還是
boundary-74	務的還	you	有	1	1512	有 | 由 | 又 | 友 | 遊
boundary-75	的還有	lai	來	1	1207	來 | 賴 | 萊 | 來的 | 來自
boundary-76	還有來	zi	自	1	522	自 | 子 | 資 | 字 | 自己
boundary-77	有來自	jianada	加拿大	1	1380	加拿大 | 加拿大人 | 加拿大籍 | 加拿大信託 | 家拿到
boundary-78	英國	he	和	1	962	和 | 合 | 何 | 很 | 核
boundary-79	英國和	meiguo	美國	1	2198	美國 | 美國人 | 沒過 | 美國籍 | 沒國
boundary-80	和美國	de	的	1	518	的 | 地 | 得 | 德 | 等
boundary-81	美國的	daibiao	代表	1	1197	代表 | 代表性 | 代表隊 | 代表團 | 代表會
boundary-82	其中	cansai	參賽	1	2785	參賽 | 參賽者 | 參賽權 | 餐賽 | 參塞
boundary-83	中參賽	zhe	者	2	1544	這 | 者 | 著 | 政 | 正
boundary-84	參賽者	nianling	年齡	1	4840	年齡 | 年齡層 | 年另 | 年領 | 年令
boundary-85	者年齡	buke	不可	1	792	不可 | 不可能 | 不可以 | 不肯 | 不克
boundary-86	齡不可	chaoguo	超過	1	1812	超過 | 吵過 | 炒過 | 抄過 | 超國
boundary-87	以	dangnian	當年	1	1955	當年 | 黨年 | 當念 | 當年勇 | 檔年
boundary-88	日	wei	為	1	765	為 | 位 | 委 | 未 | 維
boundary-89	日為	zhun	準	1	2780	準 | 准 | 準備 | 屯 | 準的
boundary-90	且	bixu	必須	1	508	必須 | 必需 | 必須要 | 必需品 | 冰雪
boundary-91	且必須	jiudu	就讀	1	480	就讀 | 就都 | 舊都 | 就度 | 就讀於
boundary-92	須就讀	wu	於	1	988	於 | 無 | 五 | 物 | 務
boundary-93	就讀於	zhong	中	1	2205	中 | 種 | 重 | 眾 | 終
boundary-94	讀於中	xuexiao	學校	1	1094	學校 | 學校裡 | 學學 | 學小 | 學校裡面
boundary-95	亞奧	lishi	理事	2	7588	歷史 | 理事 | 六十 | 臨時 | 歷時
boundary-96	奧理事	kuai	會	1	1118	會 | 快 | 塊 | 快樂 | 快速
boundary-97	理事會	zhuxi	主席	1	3733	主席 | 轉型 | 撰寫 | 專心 | 朱熹
boundary-98	薩巴赫	qinwang	親王	2	3091	秦王 | 親王 | 情網 | 親網 | 親望
boundary-99	赫親王	wei	為	1	1048	為 | 位 | 委 | 未 | 維
boundary-100	親王為	guoji	國際	1	1206	國際 | 國家 | 國籍 | 國際化 | 國教
boundary-101	為國際	sheji	射擊	3	2748	設計 | 涉及 | 射擊 | 審計 | 神經
boundary-102	際射擊	zhongxin	中心	1	6662	中心 | 重心 | 忠信 | 衷心 | 中興
boundary-103	擊中心	zhuchi	主持	1	3355	主持 | 主持人 | 住持 | 蛀齒 | 著持
boundary-104	心主持	tongxiang	銅像	2	3183	同鄉 | 銅像 | 通向 | 同向 | 同項
boundary-105	持銅像	jiemu	揭幕	2	719	節目 | 揭幕 | 接木 | 節目部 | 節目裡
boundary-106	像揭幕	yishi	儀式	4	1562	意識 | 醫師 | 一時 | 儀式 | 一世
boundary-107	這些	dianhua	電話	1	3025	電話 | 點化 | 電化 | 點畫 | 電腦化
boundary-108	些電話	jing	經	1	1771	經 | 更 | 境 | 精 | 景
boundary-109	電話經	jiaohuan	交換	1	2933	交換 | 交還 | 叫喚 | 交換機 | 交還給
boundary-110	經交換	ji	機	3	658	其 | 及 | 機 | 期 | 計
boundary-111	交換機	chuli	處理	1	3342	處理 | 出力 | 矗立 | 創立 | 串連
boundary-112	使用	de	的	1	635	的 | 地 | 得 | 德 | 等
boundary-113	使用的	meijie	媒介	1	870	媒介 | 眉睫 | 沒接 | 每屆 | 每節
boundary-114	的媒介	baogua	包括	1	839	包括 | 保管 | 報關 | 報館 | 報關行
boundary-115	介包括	haidi	海底	1	992	海底 | 海地 | 還的 | 海的 | 孩的
boundary-116	括海底	dianlan	電纜	1	1816	電纜 | 靛藍 | 電纜線 | 靛藍色 | 電纜車
boundary-117	人	zao	造	1	676	造 | 早 | 遭 | 糟 | 澡
boundary-118	人造	weixing	衛星	1	3386	衛星 | 微型 | 尾形 | 為行 | 微行
boundary-119	無線	dian	電	1	1164	電 | 點 | 店 | 典 | 電腦
boundary-120	光纖	ji	及	2	1600	其 | 及 | 機 | 期 | 計
boundary-121	圓	yue	月	2	885	說 | 月 | 樂 | 約 | 越
boundary-122	圓月	wan	彎	12	995	灣 | 完 | 萬 | 晚 | 玩
boundary-123	圓月彎	dao	刀	6	612	到 | 道 | 導 | 倒 | 島
boundary-124	為	gulong	古龍	1	1931	古龍 | 古龍水 | 家龍 | 罐籠 | 家隆
boundary-125	為古龍	wanqi	晚期	1	1174	晚期 | 網球 | 玩起 | 往前 | 挽起
boundary-126	龍晚期	zuopin	作品	1	1004	作品 | 作品集 | 做品 | 作平 | 作頻
boundary-127	月	zhi	至	4	4122	之 | 只 | 知 | 至 | 制
boundary-128	武俠	chunqiu	春秋	1	5261	春秋 | 春秋時代 | 春秋經 | 春秋左氏 | 春秋五霸
boundary-129	期	duanxu	斷續	1	1514	斷續 | 端緒 | 斷續的 | 段許 | 斷許
boundary-130	期斷續	lianzai	連載	1	3516	連載 | 連在 | 連在一起 | 聯在 | 練在
boundary-131	年漢麟	chuban	出版	1	2523	出版 | 出版社 | 創辦 | 出版品 | 初版
boundary-132	麟出版	gaiming	改名	1	1742	改名 | 該名 | 該明 | 改明 | 改名換姓
boundary-133	圓	yue	月	2	577	說 | 月 | 樂 | 約 | 越
boundary-134	圓月	wan	彎	12	772	灣 | 完 | 萬 | 晚 | 玩
boundary-135	圓月彎	dao	刀	6	807	到 | 道 | 導 | 倒 | 島
boundary-136	意	wei	為	1	909	為 | 位 | 委 | 未 | 維
boundary-137	球狀	yachi	牙齒	1	1886	牙齒 | 延遲 | 羊齒 | 瑤池 | 牙齒痛
boundary-138	是滄龍	ke	科	2	996	可 | 科 | 客 | 課 | 克
boundary-139	滄龍科	de	的	1	2030	的 | 地 | 得 | 德 | 等
boundary-140	龍科的	yi	一	1	1980	一 | 以 | 意 | 已 | 議
boundary-141	科的一	ge	個	1	1430	個 | 各 | 格 | 歌 | 革
boundary-142	的一個	zhu	屬	6	3002	主 | 著 | 助 | 住 | 注
boundary-143	波列夫	sheji	設計	1	4597	設計 | 涉及 | 射擊 | 審計 | 神經
boundary-144	夫設計	ju	局	2	580	車 | 局 | 具 | 舉 | 據
boundary-145	設計局	zai	在	1	1716	在 | 再 | 載 | 災 | 仔
boundary-146	年代	moqi	末期	1	508	末期 | 默契 | 摸起 | 謀求 | 摸起來
boundary-147	代末期	tuichu	推出	1	4444	推出 | 退出 | 退除 | 退除役 | 推出去
boundary-148	期推出	tu	圖	1	1114	圖 | 土 | 突 | 推 | 途
boundary-149	客機	hou	後	1	534	後 | 候 | 厚 | 后 | 猴
boundary-150	波列夫	bian	便	2	1181	變 | 便 | 邊 | 編 | 遍
boundary-151	列夫便	cheng	成	1	3146	成 | 程 | 稱 | 城 | 承
boundary-152	夫便成	wei	為	1	1170	為 | 位 | 委 | 未 | 維
boundary-153	便成為	shehui	社會	1	2737	社會 | 社會主義 | 社會福利 | 社會局 | 社會學
boundary-154	為社會	zhuyi	主義	1	2527	主義 | 注意 | 主意 | 助益 | 逐一
boundary-155	會主義	guojia	國家	1	1329	國家 | 國教 | 國家公園 | 國建 | 國家安全
